Başlık,Marka,Kullanım Amacı,Renk,Cihaz Ağırlığı,İşlemci Tipi,İşlemci Modeli,İşlemci Nesli,İşlemci Çekirdek Sayısı,Maksimum İşlemci Hızı (GHz),Ram (Sistem Belleği),Ram (Sistem Belleği) Tipi,Ekran Kartı,Ekran Kartı Tipi,Ekran Kartı Hafızası,Ekran Kartı Bellek Tipi,SSD Kapasitesi,Hard Disk Kapasitesi,Ekran Boyutu,Çözünürlük,Çözünürlük Standartı,Ekran Yenileme Hızı,Panel Tipi,İşletim Sistemi,Çekilme Zamanı,Fiyat (TRY),Link
"Yoga Pro 7 14IMH9 Intel® Core™ Ultra 9 185H 32GB 1tb SSD 14,5"" Freedos 83E2002QTR Dokunmatik",LENOVO,Ofis - İş,Koyu Mavi; Siyah,2 kg ve altı,Intel Core Ultra 9,185H,14. Nesil,16,+5,32 GB,LPDDR5X,Intel UHD Graphics,Dahili,Paylaşımlı,Dahili,1 TB,HDD Yok,"14,5 inç",3072 x 1920,2.5K,120 Hz,IPS,Free Dos (İşletim Sistemi Yok),2025-12-03 02:08:59,73.999 TL,https://www.trendyol.com/lenovo/yoga-pro-7-14imh9-intel-core-ultra-9-185h-32gb-1tb-ssd-14-5-freedos-83e2002qtr-dokunmatik-p-845294418?boutiqueId=61&merchantId=107301
"Excalibur G915 i7-13620H 32GB 2TB 8GB RTX5060 165Hz 16"" Freedos Gaming Laptop G915.1362-DX60X-C",CASPER,Oyun,Siyah,2 - 4 kg,Intel Core i7,13620H,13. Nesil,10,4.9,32 GB,DDR5,Nvidia GeForce RTX 5060,Harici,8 GB,GDDR7,2 TB,HDD Yok,16 inç,1920 x 1200,Full HD (FHD),165 Hz,IPS,Free Dos (İşletim Sistemi Yok),2025-12-03 02:09:01,61.499 TL,https://www.trendyol.com/casper/excalibur-g915-i7-13620h-32gb-2tb-8gb-rtx5060-165hz-16-freedos-gaming-laptop-g915-1362-dx60x-c-p-973113219?boutiqueId=61&merchantId=169540
"Rog Strix Scar 18 G835LW-SA129 Ultra 9 275HX 64GB 2TB SSD RTX5080-16GB Dos 18"" 2.5K 240Hz WQXGA",ASUS,Oyun,Siyah,2 - 4 kg,Intel Core Ultra 9,275HX,Belirtilmemiş,24,+5,64 GB,DDR5,Nvidia GeForce RTX 5080,Harici,16 GB,Belirtilmemiş,2 TB,2 TB,18 inç,2560 x 1600,WQXGA,240 Hz,Mini LED,Free Dos (İşletim Sistemi Yok),2025-12-03 02:09:01,195.999 TL,https://www.trendyol.com/asus/rog-strix-scar-18-g835lw-sa129-ultra-9-275hx-64gb-2tb-ssd-rtx5080-16gb-dos-18-2-5k-240hz-wqxga-p-902006100?boutiqueId=61&merchantId=106740
ExpertBook P5 Core Ultra 5 226V-16Gb-512Gb Ssd-14inc-W11,ASUS,Ofis - İş,Gri,2 kg ve altı,Intel Core Ultra 5,226V,2. Nesil,8,,16 GB,LPDDR5X,Intel Arc Graphics,Dahili,Paylaşımlı,Belirtilmemiş,SSD Yok,512 GB,14 inç,2560 x 1600,WQXGA,144 Hz,,Windows,2025-12-03 02:09:03,54.999 TL,https://www.trendyol.com/asus/expertbook-p5-core-ultra-5-226v-16gb-512gb-ssd-14inc-w11-p-883156423?boutiqueId=61&merchantId=624588
"LOQ 15IRX9 Intel Core i7-13650HX 12GB 1TB SSD 6GB GeForce RTX 3050 15.6"" FHD IPS Freedos 83DV011CTR",LENOVO,Oyun,Luna Gri; Gri,2 - 4 kg,Intel Core i7,13650HX,13. Nesil,14,4.9,12 GB,DDR5,Nvidia GeForce RTX 3050,Harici,6 GB,GDDR6,1 TB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),144 Hz,IPS,Free Dos (İşletim Sistemi Yok),2025-12-03 02:09:07,41.999 TL,https://www.trendyol.com/lenovo/loq-15irx9-intel-core-i7-13650hx-12gb-1tb-ssd-6gb-geforce-rtx-3050-15-6-fhd-ips-freedos-83dv011ctr-p-899594438?boutiqueId=61&merchantId=104683
"Vivobook S14 S3407VA-LY015 Intel Core i5 13420H 16GB 512GB SSD Freedos 14"" 60Hz WUXGA Taşınabil",ASUS,Ofis - İş,,2 kg ve altı,Intel Core i5,13420H,13. Nesil,8,,16 GB,DDR5,Intel UHD Graphics,Dahili,Paylaşımlı,Dahili,512 GB,HDD Yok,14 inç,1920 x 1200,WUXGA,60 Hz,,Free Dos (İşletim Sistemi Yok),2025-12-03 02:09:11,28.199 TL,https://www.trendyol.com/asus/vivobook-s14-s3407va-ly015-intel-core-i5-13420h-16gb-512gb-ssd-freedos-14-60hz-wuxga-tasinabil-p-960744610?boutiqueId=61&merchantId=106198
Alienware 16 Aurora Core 7-240h 16gb Ddr5 1tb Ssd Rtx5060 8gb 80w 16 Inç 2k 120hz W11h Gaming,Dell,Oyun,Siyah,Belirtilmemiş,Intel Core 7,Belirtilmemiş,2. Nesil,10,+5,16 GB,DDR5,Nvidia GeForce RTX 5060,Harici,8 GB,GDDR7,1 TB,HDD Yok,16 inç,2560 x 1600,WQXGA,120 Hz,Yok,Windows,2025-12-03 02:09:15,69.329 TL,https://www.trendyol.com/dell/alienware-16-aurora-core-7-240h-16gb-ddr5-1tb-ssd-rtx5060-8gb-80w-16-inc-2k-120hz-w11h-gaming-p-949278118?boutiqueId=61&merchantId=105369
"ThinkPad T14 Gen 5 Ultra 7 155U 32GB 1TB SSD 14"" WUXGA W11P Notebook 21ML0013TX 003",LENOVO,Ofis - İş,Siyah,2 kg ve altı,Intel Core Ultra 7,Belirtilmemiş,14. Nesil,12+,4.8,32 GB,DDR5,Intel HD Graphics,Dahili,Paylaşımlı,Dahili,1 TB,HDD Yok,14 inç,1920 x 1200,WUXGA,Belirtilmemiş,IPS,Windows,2025-12-03 02:09:17,68.490 TL,https://www.trendyol.com/lenovo/thinkpad-t14-gen-5-ultra-7-155u-32gb-1tb-ssd-14-wuxga-w11p-notebook-21ml0013tx-003-p-866929125?boutiqueId=61&merchantId=114271
"Zenbook A14 UX3407RA-QD057W Qualcomm Snapdragon X Elite X1E 78 100 32GB 1TB SSD 14""OLED Win11",ASUS,Ev - Okul,Iceland Gray; Siyah,2 kg ve altı,Qualcomm Snapdragon X Elite,X1E 78 100,Belirtilmemiş,12+,2.5,32 GB,LPDDR5X,Dahili Ekran Kartı,Dahili,Paylaşımlı,Dahili,1 TB,HDD Yok,14 inç,1920 x 1200,Belirtilmemiş,60 Hz,OLED,Windows,2025-12-03 02:09:19,59.869 TL,https://www.trendyol.com/asus/zenbook-a14-ux3407ra-qd057w-qualcomm-snapdragon-x-elite-x1e-78-100-32gb-1tb-ssd-14-oled-win11-p-896152382?boutiqueId=61&merchantId=105369
"Inspiron 3530 I3530122024U08 i5-1334U 16GB 512SSD 15.6"" FHD W11P Dizüstü Bilgisayar-CNT009",Dell,Ofis - İş,Siyah,2 kg ve altı,Intel Core i5,1334u,13. Nesil,10,4.6,16 GB,DDR4,Intel XE Graphics,Dahili,Paylaşımlı,Dahili,512 GB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),120 Hz,VA,Windows,2025-12-03 02:09:21,25.399 TL,https://www.trendyol.com/dell/inspiron-3530-i3530122024u08-i5-1334u-16gb-512ssd-15-6-fhd-w11p-dizustu-bilgisayar-cnt009-p-938436157?boutiqueId=61&merchantId=106664
"Victus Intel Core I7-13700h 16 Gb Rtx 4050-6gb 1tb Ssd 15,6"" 144 Hz Freedos Beyaz 7n9u8ea Notebook",HP,Oyun,Beyaz,2 - 4 kg,Intel Core i7,13700H,13. Nesil,14,,16 GB,DDR4,Nvidia GeForce RTX 4050,Harici,6 GB,GDDR6,1 TB,1 TB,"15,6 inç",1920 x 1080,Full HD (FHD),144 Hz,IPS,Free Dos (İşletim Sistemi Yok),2025-12-03 02:09:23,47.999 TL,https://www.trendyol.com/hp/victus-intel-core-i7-13700h-16-gb-rtx-4050-6gb-1tb-ssd-15-6-144-hz-freedos-beyaz-7n9u8ea-notebook-p-737167881?boutiqueId=61&merchantId=216294
