Başlık,Marka,Kullanım Amacı,Renk,Cihaz Ağırlığı,İşlemci Tipi,İşlemci Modeli,İşlemci Nesli,İşlemci Çekirdek Sayısı,Maksimum İşlemci Hızı (GHz),Ram (Sistem Belleği),Ram (Sistem Belleği) Tipi,Ekran Kartı,Ekran Kartı Tipi,Ekran Kartı Hafızası,Ekran Kartı Bellek Tipi,SSD Kapasitesi,Hard Disk Kapasitesi,Ekran Boyutu,Çözünürlük,Çözünürlük Standartı,Ekran Yenileme Hızı,Panel Tipi,İşletim Sistemi,Çekilme Zamanı,Fiyat (TRY),Link
"Excalibur G870 i7-13620H 32GB 1TB 6GB RTX3050 165Hz 15.6"" Freedos Gaming Laptop G870.1362-DFJ0X-C",CASPER,Oyun,,2 - 4 kg,Intel Core i7,13620H,13. Nesil,10,4.9,32 GB,DDR4,Nvidia GeForce RTX 3050,Harici,6 GB,GDDR6,1 TB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),165 Hz,IPS,Free Dos (İşletim Sistemi Yok),2025-12-03 02:01:15,47.999 TL,https://www.trendyol.com/casper/excalibur-g870-i7-13620h-32gb-1tb-6gb-rtx3050-165hz-15-6-freedos-gaming-laptop-g870-1362-dfj0x-c-p-963496755?boutiqueId=61&merchantId=141868
"Vivobook 15 X1504VA-NJ412 Intel Core i7-1355U 8GB 512GB SSD 15.6"" FullHD FreeDOS Dizüstü Bilgisayar",ASUS,Ofis - İş,Gümüş,2 kg ve altı,Intel Core i7,1335U,13. Nesil,10,,8 GB,DDR4,Intel XE Graphics,Dahili,Paylaşımlı,Dahili,512 GB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),60 Hz,,Free Dos (İşletim Sistemi Yok),2025-12-03 02:01:16,27.899 TL,https://www.trendyol.com/asus/vivobook-15-x1504va-nj412-intel-core-i7-1355u-8gb-512gb-ssd-15-6-fullhd-freedos-dizustu-bilgisayar-p-779490195?boutiqueId=61&merchantId=106664
"Scout 15 E1 Md62765 Intel Core I5 13420h 16gb 1tb Rtx5050 15.6"" 144hz Fhd Ips Win11h Oyuncu Laptop",Erazer,Oyun,Siyah,2 - 4 kg,Intel Core i5,13420H,13. Nesil,8,4.6,16 GB,DDR5,Nvidia GeForce RTX 5050,Harici,8 GB,GDDR7,1 TB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),144 Hz,IPS,Windows,2025-12-03 02:01:17,47.500 TL,https://www.trendyol.com/erazer/scout-15-e1-md62765-intel-core-i5-13420h-16gb-1tb-rtx5050-15-6-144hz-fhd-ips-win11h-oyuncu-laptop-p-957648302?boutiqueId=61&merchantId=832705
"IDEAPAD GAMING 3 82S9016FTX I5-12450H 8GB 512GB RTX3050TI FHD 15.6"" FREEDOS",LENOVO,Ofis - İş,Gri,2 - 4 kg,Intel Core i5,12450H,12. Nesil,8,,8 GB,DDR4,Nvidia GeForce RTX 3050 Ti,Harici,4 GB ve altı,GDDR6,512 GB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),60 Hz,,Free Dos (İşletim Sistemi Yok),2025-12-03 02:01:21,"57.962,25 TL",https://www.trendyol.com/lenovo/ideapad-gaming-3-82s9016ftx-i5-12450h-8gb-512gb-rtx3050ti-fhd-15-6-freedos-p-769160953?boutiqueId=61&merchantId=344353
"Macbook Air M3 Çip 16gb 512gb Ssd Macos 13"" Taşınabilir Bilgisayar Yıldız Işığı Mxcu3tu/a",Apple,Ofis - İş,Yıldız Işığı; Bej,2 kg ve altı,Apple M3,Belirtilmemiş,3. Nesil,8,,16 GB,Birleşik Bellek,Dahili Ekran Kartı,Dahili,Paylaşımlı,Dahili,512 GB,HDD Yok,"13,6 inç",2560 x 1664,QHD,Belirtilmemiş,,Mac Os,2025-12-03 02:01:22,53.477 TL,https://www.trendyol.com/apple/macbook-air-m3-cip-16gb-512gb-ssd-macos-13-tasinabilir-bilgisayar-yildiz-isigi-mxcu3tu-a-p-816682292?boutiqueId=61&merchantId=141868
"Huma H4 V5.1.6 Intel Core I5-1235u 16 Gb Ram 1 Tb Ssd Freedos 14,1"" Fhd",MONSTER,Ofis - İş,Gümüş,2 kg ve altı,Intel Core i5,1235U,12. Nesil,10,4.4,16 GB,DDR4,Intel Iris Graphics,Dahili,Paylaşımlı,Dahili,1 TB,HDD Yok,"14,1 inç",1920 x 1080,Full HD (FHD),60 Hz,IPS,Free Dos (İşletim Sistemi Yok),2025-12-03 02:01:23,34.899 TL,https://www.trendyol.com/monster/huma-h4-v5-1-6-intel-core-i5-1235u-16-gb-ram-1-tb-ssd-freedos-14-1-fhd-p-456346882?boutiqueId=61&merchantId=105286
"IP3 83K100Q0TR i5-13420H 8GB DDR5 256GB SSD WUXGA 15.3"" IPS FreeDos",LENOVO,Ofis - İş,,2 kg ve altı,Intel Core i5,13420H,13. Nesil,8,,8 GB,DDR5,Intel UHD Graphics,Dahili,Paylaşımlı,Dahili,256 GB,HDD Yok,"15,3 inç",1920 x 1200,WUXGA,60 Hz,,Free Dos (İşletim Sistemi Yok),2025-12-03 02:01:24,24.999 TL,https://www.trendyol.com/lenovo/ip3-83k100q0tr-i5-13420h-8gb-ddr5-256gb-ssd-wuxga-15-3-ips-freedos-p-988382239?boutiqueId=61&merchantId=1109500
"Yoga PRO 7 Intel Core Ultra 7 155H 16Gb 1TB Nvidia Geforce RTX 4050 6GB Gddr6 14.5"" 2.8K W11",LENOVO,Oyun,Renkli,2 - 4 kg,Intel Core Ultra 7,155H,Belirtilmemiş,2,4.8,16 GB,Belirtilmemiş,Nvidia GeForce RTX 4050,Dahili,Paylaşımlı,Belirtilmemiş,1 TB,HDD Yok,14 inç,1920 x 1080,Full HD (FHD),Belirtilmemiş,IPS,Windows,2025-12-03 02:01:25,79.999 TL,https://www.trendyol.com/lenovo/yoga-pro-7-intel-core-ultra-7-155h-16gb-1tb-nvidia-geforce-rtx-4050-6gb-gddr6-14-5-2-8k-w11-p-856026454?boutiqueId=61&merchantId=624588
"IdeaPad 3 15IAU7 İntel Core i3-1215U 8 GB RAM 256 GB SSD 15.6"" Full HD Windows11 82RK0188TX",LENOVO,Ofis - İş,,2 kg ve altı,Intel Core i3,1215U,12. Nesil,6,3.3,8 GB,DDR4,Intel UHD Graphics,Dahili,Paylaşımlı,DDR4,256 GB,256 GB,"15,6 inç",1920 x 1080,Full HD (FHD),60 Hz,,Windows,2025-12-03 02:01:27,16.199 TL,https://www.trendyol.com/lenovo/ideapad-3-15iau7-intel-core-i3-1215u-8-gb-ram-256-gb-ssd-15-6-full-hd-windows11-82rk0188tx-p-948529513?boutiqueId=61&merchantId=747712
"Ideapad Slim 3 83ER00FWTR i5-12450H 16GB 512SSD 15.6"" FHD FreeDOS Dizüstü Bilgisayar",LENOVO,Ofis - İş,Siyah,2 kg ve altı,Intel Core i5,12450H,12. Nesil,8,4.4,16 GB,DDR5,Intel UHD Graphics,Dahili,Paylaşımlı,SD,512 GB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),60 Hz,TN,Linux,2025-12-03 02:01:28,22.299 TL,https://www.trendyol.com/lenovo/ideapad-slim-3-83er00fwtr-i5-12450h-16gb-512ssd-15-6-fhd-freedos-dizustu-bilgisayar-p-877379709?boutiqueId=61&merchantId=797201
"ThinkPad E16 Gen 2 Ultra 7 155H 32GB 1TB SSD 16"" WUXGA Fdos Dizüstü Bilgisayar 21MA002UTX 005",LENOVO,Ofis - İş,Siyah,2 kg ve altı,Intel Core Ultra 7,155H,Belirtilmemiş,16,4.9,32 GB,DDR5,Intel Arc Graphics,Dahili,Paylaşımlı,Dahili,1 TB,HDD Yok,16 inç,1920 x 1200,WUXGA,60 Hz,IPS,Free Dos (İşletim Sistemi Yok),2025-12-03 02:01:29,54.490 TL,https://www.trendyol.com/lenovo/thinkpad-e16-gen-2-ultra-7-155h-32gb-1tb-ssd-16-wuxga-fdos-dizustu-bilgisayar-21ma002utx-005-p-881935647?boutiqueId=61&merchantId=114271
Cyborg 15 13.Nesil Core i5 13420H-RTX4060 8GB-16GB-512Gb Ssd-15.6inc-W11,MSI,Oyun,SIYAH; Siyah,2 kg ve altı,Intel Core i5,13420H,12. Nesil,8,,16 GB,DDR5,Nvidia GeForce RTX 4060,Harici,8 GB,GDDR6,512 GB,500 GB,"15,6 inç",1920 x 1080,Full HD (FHD),144 Hz,Full HD,Windows,2025-12-03 02:01:30,51.999 TL,https://www.trendyol.com/msi/cyborg-15-13-nesil-core-i5-13420h-rtx4060-8gb-16gb-512gb-ssd-15-6inc-w11-p-822144676?boutiqueId=61&merchantId=391109
"Tuf Gamıng A15 FA507NUR-LP034-K3 Amd Ryzen 7-7435HS 32GB Ddr5 1tb Pcıe SSD 6gb RTX4050 15.6"" Fhd 144",ASUS,Oyun,Mecha Gray; Siyah,2 - 4 kg,AMD Ryzen 7,7435HS,7. Nesil,8,4.5,32 GB,DDR5,Nvidia GeForce RTX 4050,Dahili,6 GB,GDDR6,1 TB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),144 Hz,IPS,Free Dos (İşletim Sistemi Yok),2025-12-03 02:01:31,64.999 TL,https://www.trendyol.com/asus/tuf-gaming-a15-fa507nur-lp034-k3-amd-ryzen-7-7435hs-32gb-ddr5-1tb-pcie-ssd-6gb-rtx4050-15-6-fhd-144-p-862561409?boutiqueId=61&merchantId=122633
Ideapad 3 Slim Case Intel Core I5-12450h 8gb 512gb Ssd Freedos 14 Inç 83EQ0067TR IŞIKLI KLAVYE,LENOVO,Ofis - İş,Arktik Gri; Gri,2 kg ve altı,Intel Core i5,12450H,12. Nesil,8,4.4,8 GB,LPDDR5,Intel UHD Graphics,Dahili,Paylaşımlı,Dahili,512 GB,512 GB,14 inç,1920 x 1080,Full HD (FHD),60 Hz,IPS,Free Dos (İşletim Sistemi Yok),2025-12-03 02:01:33,23.995 TL,https://www.trendyol.com/lenovo/ideapad-3-slim-case-intel-core-i5-12450h-8gb-512gb-ssd-freedos-14-inc-83eq0067tr-isikli-klavye-p-851664789?boutiqueId=61&merchantId=507101
"VivoBook 15 X1502VA-NJ872 i5-13420H 8 Gb 512 Gb Ssd 15.6"" Free Dos FHD Dizüstü Bilg",ASUS,Ev - Okul,Gümüş,2 kg ve altı,Intel Core i5,13420H,13. Nesil,10,4.4,16 GB,DDR4,Intel UHD Graphics,Dahili,Paylaşımlı,DDR4,1 TB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),60 Hz,VA,Free Dos (İşletim Sistemi Yok),2025-12-03 02:01:34,24.799 TL,https://www.trendyol.com/asus/vivobook-15-x1502va-nj872-i5-13420h-8-gb-512-gb-ssd-15-6-free-dos-fhd-dizustu-bilg-p-850763394?boutiqueId=61&merchantId=914809
Victus 16-s0003nt 7.Nesil Ryzen 7 7840HS-RTX4070 8Gb-16Gb-512Gb-16.1inc-W11,HP,Oyun,Mika Gümüş; Gümüş,2 - 4 kg,AMD Ryzen 7,7840HS,7. Nesil,8,5.0,16 GB,DDR5,Nvidia GeForce RTX 4070,Harici,8 GB,GDDR6,512 GB,HDD Yok,"16,1 inç",1920 x 1080,Full HD (FHD),144 Hz,Full HD,Windows,2025-12-03 02:01:35,59.999 TL,https://www.trendyol.com/hp/victus-16-s0003nt-7-nesil-ryzen-7-7840hs-rtx4070-8gb-16gb-512gb-16-1inc-w11-p-779237022?boutiqueId=61&merchantId=107870
"Vivobook i5-13420H 16GB 512GB SSD 15.6"" FHD W11P Taşınabilir Bilgisayar X1502VA",ASUS,Ofis - İş,Gümüş,2 kg ve altı,Intel Core i5,13420H,13. Nesil,8,4.6,16 GB,DDR4,Intel UHD Graphics,Dahili,Paylaşımlı,Dahili,512 GB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),Belirtilmemiş,IPS,Windows,2025-12-03 02:01:36,26.999 TL,https://www.trendyol.com/asus/vivobook-i5-13420h-16gb-512gb-ssd-15-6-fhd-w11p-tasinabilir-bilgisayar-x1502va-p-952589467?boutiqueId=61&merchantId=121474
"Victus 16-S0025NT 7Z591EA Ryzen 5 7640HS 16 GB 1 TB SSD RTX4050 16.1"" Full HD Notebook",HP,Ofis - İş,GÜMÜŞ; Gümüş,2 - 4 kg,MediaTek P60T,9420E,12. Nesil,16,3.0,48 GB,LPDDR4X,Nvidia GeForce MX450,Harici,4 GB ve altı,Dahili,64 GB,1 TB,18 inç,3456 x 2234,WQHD,60 Hz,,Free Dos (İşletim Sistemi Yok),2025-12-03 02:01:37,38.000 TL,https://www.trendyol.com/hp/victus-16-s0025nt-7z591ea-ryzen-5-7640hs-16-gb-1-tb-ssd-rtx4050-16-1-full-hd-notebook-p-770382255?boutiqueId=61&merchantId=844339
"Excalibur G870 i7-13620H 32GB 1TB 6GB RTX4050 165Hz 15.6"" W11H Gaming Laptop G870.1362-DFA0A-C",CASPER,Oyun,Siyah,2 - 4 kg,Intel Core i7,13620H,13. Nesil,10,4.9,32 GB,DDR4,Nvidia GeForce RTX 4050,Harici,6 GB,GDDR6,1 TB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),165 Hz,IPS,Windows,2025-12-03 02:01:39,61.099 TL,https://www.trendyol.com/casper/excalibur-g870-i7-13620h-32gb-1tb-6gb-rtx4050-165hz-15-6-w11h-gaming-laptop-g870-1362-dfa0a-c-p-822936110?boutiqueId=61&merchantId=114258
I-life Zed Air Cx5 Intel Core I5 5257u 4gb 256gb Ssd 15.6 Fhd Taşınabilir Bilgisayar,I-LIFE DIGITAL,Oyun,Gümüş,2 kg ve altı,Intel Core i5,5405U,5. Nesil,4,,4 GB,DDR4,Intel Iris Graphics,Dahili,4 GB ve altı,GDDR5,256 GB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),Belirtilmemiş,IPS,Windows,2025-12-03 02:01:40,13.899 TL,https://www.trendyol.com/i-life-digital/i-life-zed-air-cx5-intel-core-i5-5257u-4gb-256gb-ssd-15-6-fhd-tasinabilir-bilgisayar-p-55313451?boutiqueId=61&merchantId=409439
MW2W3TU/A/Macbook Pro/ M4 İşlemci/10 Çekirdek CPU-10 Çekirdek GPU/16GB RAM/512GB SSD/14.2,Apple,Ev - Okul,Gümüş; Gri,2 kg ve altı,Apple M4,Belirtilmemiş,Belirtilmemiş,10,,16 GB,LPDDR4,Dahili Ekran Kartı,Dahili,Paylaşımlı,Belirtilmemiş,512 GB,HDD Yok,"14,2 inç",3024 x 1964,Retina,Belirtilmemiş,IPS,Mac Os,2025-12-03 02:01:41,87.999 TL,https://www.trendyol.com/apple/mw2w3tu-a-macbook-pro-apple-m4-islemci-10-cekirdek-cpu-10-cekirdek-gpu-16gb-ram-512gb-ssd-14-2-p-887302550?boutiqueId=61&merchantId=125540
Katana 15 B13vgk-1610tr I7-13620h 16gb Ddr5 1tb Ssd Rtx4070 8gd6 15.6 Fhd 144hz W11 Notebook,MSI,Ev - Okul,SİYAH; Siyah,2 - 4 kg,Intel Core i7,13620H,13. Nesil,10,4.9,16 GB,DDR5,Nvidia GeForce RTX 4070,Harici,8 GB,GDDR6,1 TB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),144 Hz,IPS,Windows,2025-12-03 02:01:42,74.999 TL,https://www.trendyol.com/msi/katana-15-b13vgk-1610tr-i7-13620h-16gb-ddr5-1tb-ssd-rtx4070-8gd6-15-6-fhd-144hz-w11-notebook-p-769893304?boutiqueId=61&merchantId=109457
"Ideapad Slim 3 Intel Core I5 13420H 16GB 1 TB SSD W11 16"" FHD Bilgisayar + Boz Çanta , Mouse",LENOVO,Ofis - İş,Gri,2 - 4 kg,Intel Core i5,13420H,13. Nesil,10,4.3,16 GB,DDR5,Intel UHD Graphics,Dahili,Paylaşımlı,Dahili,1 TB,HDD Yok,16 inç,1920 x 1200,Full HD (FHD),60 Hz,IPS,Windows,2025-12-03 02:01:43,29.999 TL,https://www.trendyol.com/lenovo/ideapad-slim-3-intel-core-i5-13420h-16gb-1-tb-ssd-w11-16-fhd-bilgisayar-boz-canta-mouse-p-942029970?boutiqueId=61&merchantId=192739
"Ideapad Slim 3 82XM00PWTX002 Ryzen5 5625U 16GB 512SSD 15.6"" FHD W11P Dizüstü Bilgisayar-CNT00",LENOVO,Ofis - İş,Gri,2 kg ve altı,AMD Ryzen 5,5625U,5. Nesil,6,4.3,16 GB,DDR4,AMD Radeon Graphics,Dahili,Paylaşımlı,Dahili,512 GB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),60 Hz,TN,Windows,2025-12-03 02:01:45,23.499 TL,https://www.trendyol.com/lenovo/ideapad-slim-3-82xm00pwtx002-ryzen5-5625u-16gb-512ssd-15-6-fhd-w11p-dizustu-bilgisayar-cnt00-p-963228499?boutiqueId=61&merchantId=121474
NB VECTOR A18 HX A9WHG-094TR R9-9955HX 32GB DDR5 RTX5070TI GDDR7 12GB 1TB SSD 18.0 QHD+ 240Hz W1,MSI,Ofis - İş,Gri; Siyah,2 - 4 kg,AMD Ryzen 9,7845HX,Belirtilmemiş,24,3.2,32 GB,DDR5,Nvidia GeForce RTX 5070 Ti,Belirtilmemiş,12 GB,GDDR6,1 TB,1 TB,18 inç,2560 x 1600,QHD,240 Hz,IPS,Windows,2025-12-03 02:01:46,149.999 TL,https://www.trendyol.com/msi/nb-vector-a18-hx-a9whg-094tr-r9-9955hx-32gb-ddr5-rtx5070ti-gddr7-12gb-1tb-ssd-18-0-qhd-240hz-w1-p-924786899?boutiqueId=61&merchantId=797201
OMEN MAX 16-AH0021NT B92QXEA 8GB RTX5070 Intel®️ Core™️ Ultra 7 255HX 32GB RAM 1TB SSD 16 inç 240Hz,HP,Oyun,Siyah,2 - 4 kg,Intel Core Ultra 7,255HX,Belirtilmemiş,20,4.7,32 GB,DDR5,Nvidia GeForce RTX 5070,Harici,8 GB,Belirtilmemiş,1 TB,1 TB,16 inç,2560 x 1600,WQXGA,240 Hz,IPS,Free Dos (İşletim Sistemi Yok),2025-12-03 02:01:47,91.999 TL,https://www.trendyol.com/hp/omen-max-16-ah0021nt-b92qxea-8gb-rtx5070-intel-core-ultra-7-255hx-32gb-ram-1tb-ssd-16-inc-240hz-p-906096723?boutiqueId=61&merchantId=118442
"Victus Gaming 15 Intel Core i5 12500H 16GB 512 GB SSD RTX4060 Freedos 15.6"" B03C7EA-T14",HP,Oyun,Siyah,2 - 4 kg,Intel Core i5,12500H,12. Nesil,12+,4.5,16 GB,DDR4,Nvidia GeForce RTX 4060,Harici,8 GB,GDDR6,512 GB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),144 Hz,IPS,Free Dos (İşletim Sistemi Yok),2025-12-03 02:01:48,46.999 TL,https://www.trendyol.com/hp/victus-gaming-15-intel-core-i5-12500h-16gb-512-gb-ssd-rtx4060-freedos-15-6-b03c7ea-t14-p-876846610?boutiqueId=61&merchantId=857450
"250 G10 Intel Core I7-1 250 G10 Intel® Core™ i7-1355U 16 GB RAM 512 GB SSD FreeDOS FHD 15.6"" (1",HP,Ofis - İş,Metalik,2 kg ve altı,Intel Core i7,1355U,13. Nesil,10,5.0,,DDR4,Intel Iris Graphics,Dahili,Paylaşımlı,Dahili,,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),60 Hz,SVA,Free Dos (İşletim Sistemi Yok),2025-12-03 02:01:49,31.290 TL,https://www.trendyol.com/hp/250-g10-intel-core-i7-1hp-250-g10-intel-core-i7-1355u-16-gb-ram-512-gb-ssd-freedos-fhd-15-6-1-p-813542857?boutiqueId=61&merchantId=114271
"Legion Pro 7 I9 14900Hx 32Gb 1TB RTX 4080 12Gb Gddr6 16"" Wqxga 240 Hz W11 83DE002LTR",LENOVO,Oyun,Renkli; Siyah,2 - 4 kg,Intel Core i9,14900HX,Belirtilmemiş,4,+5,32 GB,Belirtilmemiş,Nvidia GeForce RTX 4080,Dahili,Paylaşımlı,Belirtilmemiş,1 TB,HDD Yok,16 inç,2560 x 1600,WQXGA,Belirtilmemiş,IPS,Windows,2025-12-03 02:01:50,"205.619,05 TL",https://www.trendyol.com/lenovo/legion-pro-7-i9-14900hx-32gb-1tb-rtx-4080-12gb-gddr6-16-wqxga-240-hz-w11-83de002ltr-p-867259544?boutiqueId=61&merchantId=322515
"Vostro 3530 i7-1355U 64GB 2TB SSD 15.6"" FHD 120Hz Windows 11 Pro Laptop N1601PVNB3530U 017",Dell,Ofis - İş,Siyah,2 kg ve altı,Intel Core i7,1355U,13. Nesil,10,4.6,64 GB,DDR4,Intel UHD Graphics,Dahili,Paylaşımlı,Belirtilmemiş,2 TB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),120 Hz,VA,Windows,2025-12-03 02:01:51,49.400 TL,https://www.trendyol.com/dell/vostro-3530-i7-1355u-64gb-2tb-ssd-15-6-fhd-120hz-windows-11-pro-laptop-n1601pvnb3530u-017-p-812033480?boutiqueId=61&merchantId=192739
"Intel Core i5 1235U 16GB 512 GB SSD Freedos 15.6"" Dizüstü Bilgisayar",ACER,Ofis - İş,Gümüş; Gri,2 - 4 kg,Intel Core i5,1235U,12. Nesil,4,,16 GB,DDR4,Intel Iris Graphics,Dahili,Paylaşımlı,DDR3,512 GB,HDD Yok,15 inç,1920 x 1080,Full HD (FHD),60 Hz,IPS,Free Dos (İşletim Sistemi Yok),2025-12-03 02:01:53,22.798 TL,https://www.trendyol.com/acer/intel-core-i5-1235u-16gb-512-gb-ssd-freedos-15-6-dizustu-bilgisayar-p-865401099?boutiqueId=61&merchantId=507101
"LOQ Intel Core i5-12450H 32GB 1TB SSD 15.6"" FHD RTX3050 FreeDOS 144Hz + Çanta Hediye",LENOVO,Oyun,Siyah,2 - 4 kg,Intel Core i5,12450H,12. Nesil,8,4.4,32 GB,DDR5,Nvidia GeForce RTX 3050,Harici,6 GB,GDDR6,1 TB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),144 Hz,IPS,Free Dos (İşletim Sistemi Yok),2025-12-03 02:01:54,39.999 TL,https://www.trendyol.com/lenovo/loq-intel-core-i5-12450h-32gb-1tb-ssd-15-6-fhd-rtx3050-freedos-144hz-canta-hediye-p-871060106?boutiqueId=61&merchantId=339221
Vivobook 15 X1502ZAA61-EJ2123 Intel i7 1255U 8GB 512GB SSD 15.6 FHD,ASUS,Ofis - İş,Gri,2 kg ve altı,Intel Core i7,1255U,12. Nesil,10,4.7,8 GB,DDR4,Dahili Ekran Kartı,Dahili,Paylaşımlı,Dahili,512 GB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),60 Hz,VA,Free Dos (İşletim Sistemi Yok),2025-12-03 02:01:55,28.999 TL,https://www.trendyol.com/asus/vivobook-15-x1502zaa61-ej2123-intel-i7-1255u-8gb-512gb-ssd-15-6-fhd-p-847772066?boutiqueId=61&merchantId=122633
"Deputy P60 MD62624 i7-13620H 16GB 1TBSSD RTX4070 15.6"" FullHD W11H Dizüstü Bilgisayar",Erazer,Oyun,Siyah,2 - 4 kg,Intel Core i7,13620H,13. Nesil,10,4.9,16 GB,DDR4,Nvidia GeForce RTX 4070,Harici,8 GB,GDDR6,1 TB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),144 Hz,IPS,Free Dos (İşletim Sistemi Yok),2025-12-03 02:01:56,60.699 TL,https://www.trendyol.com/erazer/deputy-p60-md62624-i7-13620h-16gb-1tbssd-rtx4070-15-6-fullhd-w11h-dizustu-bilgisayar-p-896584562?boutiqueId=61&merchantId=124551
V14-ADA AMD Ryzen 3 3250U 82C6008CTX 14'' 4G 1TB Laptop HDD,LENOVO,Ofis - İş,Gri,2 - 4 kg,AMD Ryzen 3,3250U,Ryzen,2,2.6,,DDR4,Dahili Ekran Kartı,Dahili,Paylaşımlı,DDR4,,1 TB,14 inç,1920 x 1080,Full HD (FHD),Belirtilmemiş,TN,Free Dos (İşletim Sistemi Yok),2025-12-03 02:01:58,18.989 TL,https://www.trendyol.com/lenovo/v14-ada-amd-ryzen-3-3250u-82c6008ctx-14-4g-1tb-laptop-hdd-p-46526383?boutiqueId=61&merchantId=409439
"VOSTRO 3530 Intel® Core™ i5-1334U 32GB Ram 512GB SSD   Windows 11 Pro 15,6"" FHD",Dell,Ofis - İş,SİYAH; Gri,2 kg ve altı,Intel Core i5,1334u,13. Nesil,10,4.6,32 GB,DDR4,Intel Iris Graphics,Dahili,Paylaşımlı,Dahili,512 GB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),120 Hz,VA,Windows,2025-12-03 02:01:59,28.999 TL,https://www.trendyol.com/dell/vostro-3530-intel-core-i5-1334u-32gb-ram-512gb-ssd-windows-11-pro-15-6-fhd-p-877854606?boutiqueId=61&merchantId=1070983
"Nirvana X600 i7-13620H 32GB 1TB SSD 15.6"" Freedos Laptop X600.1362-DF00X-G-F",CASPER,Ofis - İş,Metalik Gri; Gri,2 kg ve altı,Intel Core i7,13620H,13. Nesil,10,4.9,32 GB,DDR4,Intel UHD Graphics,Dahili,Paylaşımlı,Dahili,1 TB,HDD Yok,"15,6 inç",1920 x 1080,FHD+,60 Hz,IPS,Free Dos (İşletim Sistemi Yok),2025-12-03 02:02:00,"39.999,90 TL",https://www.trendyol.com/casper/nirvana-x600-i7-13620h-32gb-1tb-ssd-15-6-freedos-laptop-x600-1362-df00x-g-f-p-899633204?boutiqueId=61&merchantId=147192
"TUF Gaming A15 FA506NF-HN050A21 Ryzen5 7535HS 16GB 512SSD RTX2050 15.6"" FullHD W11P Taşınabilir",ASUS,Oyun,Siyah,2 - 4 kg,AMD Ryzen 5,7535HS,7. Nesil,6,4.5,16 GB,DDR5,Nvidia GeForce RTX 2050,Harici,4 GB ve altı,GDDR6,512 GB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),144 Hz,IPS,Windows,2025-12-03 02:02:02,40.099 TL,https://www.trendyol.com/asus/tuf-gaming-a15-fa506nf-hn050a21-ryzen5-7535hs-16gb-512ssd-rtx2050-15-6-fullhd-w11p-tasinabilir-p-825930449?boutiqueId=61&merchantId=106664
"V15 G4 Abp Amd Ryzen 7 7730u 16 Gb 1 TB Ssd 15,6'' Fhd Freedos 82yy0012tr+161",LENOVO,Ofis - İş,SİYAH,2 - 4 kg,AMD Ryzen 7,7730U,Belirtilmemiş,8,3.2,16 GB,DDR4,Dahili Ekran Kartı,Dahili,Paylaşımlı,Dahili,1 TB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),Belirtilmemiş,TN,Free Dos (İşletim Sistemi Yok),2025-12-03 02:02:03,"34.548,95 TL",https://www.trendyol.com/lenovo/v15-g4-abp-amd-ryzen-7-7730u-16-gb-1-tb-ssd-15-6-fhd-freedos-82yy0012tr-161-p-936180113?boutiqueId=61&merchantId=125175
"VIVOBOOK 15 i5-1335U 24GB RAM 1TB SSD 15.6"" Windows 11 Pro X1504VA-NJ1423 K19",ASUS,Ofis - İş,Beyaz,2 - 4 kg,Intel Core i5,1355U,13. Nesil,Belirtilmemiş,4.6,24 GB,DDR4,Dahili Ekran Kartı,Dahili,Paylaşımlı,Dahili,1 TB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),Belirtilmemiş,IPS,Windows,2025-12-03 02:02:04,32.999 TL,https://www.trendyol.com/asus/vivobook-15-i5-1335u-24gb-ram-1tb-ssd-15-6-windows-11-pro-x1504va-nj1423-k19-p-899592385?boutiqueId=61&merchantId=334898
