title,brand,intended_use,color,weight,cpu_family,cpu_model,cpu_generation,cpu_cores,cpu_max_ghz,ram_gb,ram_type,gpu_model,gpu_type,gpu_vram_gb,gpu_vram_type,ssd_gb,hdd_gb,screen_size_inch,resolution,display_standard,refresh_rate_hz,panel_type,operating_system,scraped_at,price_try,url,platform,source_file
"huma h4 v5.2.10 black intel core i7 1255u 32 gb ram 1 tb ssd freedos 14,1"" fhd",monster,ofis-is,siyah,2 kg ve altı,intel core i7,1255u,12.0,10.0,4.7,32.0,ddr4,intel integrated,integrated,0.0,shared,1024.0,,14.1,1920x1080,fhd,60.0,ips,freedos,2025-12-03 01:52:56,37880.0,https://www.trendyol.com/monster/huma-h4-v5-2-10-black-intel-core-i7-1255u-32-gb-ram-1-tb-ssd-freedos-14-1-fhd-p-727900061?boutiqueid=61&merchantid=886256,trendyol,ty_details_202512030228.csv
victus 16-r1057nt 9j260ea i5-14500hx 16gb 1tb rtx4060 16.1inç 144hz fhd freedos gaming laptop,hp,oyun,siyah,2 - 4 kg,intel core i5,14500hx,14.0,16.0,4.7,16.0,ddr5,nvidia rtx 4060,dedicated,8.0,gddr6,1024.0,,16.1,1920x1080,fhd,144.0,ips,freedos,2025-12-03 01:52:57,55000.0,https://www.trendyol.com/hp/victus-16-r1057nt-9j260ea-i5-14500hx-16gb-1tb-rtx4060-16-1inc-144hz-fhd-freedos-gaming-laptop-p-790251648?boutiqueid=61&merchantid=131190,trendyol,ty_details_202512030228.csv
"v15 82yu0124tx amd r5 7520u 8gb ram 512gb ssd 15.6"" fhd freedos dizüstü bilgisayar",lenovo,ofis-is,gri,2 kg ve altı,amd ryzen 5,7520u,7.0,4.0,4.3,8.0,lpddr5,amd integrated,integrated,0.0,shared,512.0,,15.6,1920x1080,fhd,60.0,tn,freedos,2025-12-03 01:52:58,18999.0,https://www.trendyol.com/lenovo/v15-82yu0124tx-amd-r5-7520u-8gb-ram-512gb-ssd-15-6-fhd-freedos-dizustu-bilgisayar-p-817816364?boutiqueid=61&merchantid=1135264,trendyol,ty_details_202512030228.csv
thin gf63 12.nesil core i5 12450h-rtx3050 4gb-16gb-512gb ssd-15.6inc-w11,msi,oyun,siyah,2 kg ve altı,intel core i5,12450h,12.0,8.0,,16.0,ddr4,nvidia rtx 3050,dedicated,4.0,gddr6,512.0,500.0,15.6,1920x1080,fhd,144.0,,windows home,2025-12-03 01:52:59,35498.0,https://www.trendyol.com/msi/thin-gf63-12-nesil-core-i5-12450h-rtx3050-4gb-16gb-512gb-ssd-15-6inc-w11-p-779234703?boutiqueid=61&merchantid=507101,trendyol,ty_details_202512030228.csv
"nirvana x600.1270-df00x-g-f intel core i7-12700h 32gb ram 1tb nvme ssd freedos laptop 15,6""",casper,ofis-is,gri,2 kg ve altı,intel core i7,13620h,13.0,10.0,4.9,32.0,ddr5,intel integrated,integrated,0.0,shared,1024.0,,15.6,1920x1080,fhd,60.0,ips,freedos,2025-12-03 01:53:00,39999.0,https://www.trendyol.com/casper/nirvana-x600-1270-df00x-g-f-intel-core-i7-12700h-32gb-ram-1tb-nvme-ssd-freedos-laptop-15-6-p-843750103?boutiqueid=61&merchantid=147192,trendyol,ty_details_202512030228.csv
"thinkbook 16pg5 irx 21n50024tr i9-14900hx 32gb 1tb ssd 8gb rtx4060 165hz 16"" freedos",lenovo,ofis-is,gri,2 kg ve altı,intel core i9,14900hx,14.0,24.0,5.0,32.0,ddr5,nvidia rtx 4060,dedicated,8.0,gddr6,1024.0,,16.0,3200x2000,oled,165.0,ips,freedos,2025-12-03 01:53:01,90339.0,https://www.trendyol.com/lenovo/thinkbook-16pg5-irx-21n50024tr-i9-14900hx-32gb-1tb-ssd-8gb-rtx4060-165hz-16-freedos-p-869539281?boutiqueid=61&merchantid=105369,trendyol,ty_details_202512030228.csv
"loq amd ryzen 7-7435hs 24gb 512gb 15.6"" fhd rtx4060 8gb 105w gddr6 freedos gaming laptop 83jc00e7tr",lenovo,oyun,gri,2 - 4 kg,amd ryzen 7,7435hs,7.0,8.0,4.5,24.0,ddr5,nvidia rtx 4060,dedicated,8.0,gddr6,512.0,,15.6,1920x1080,fhd,144.0,ips,freedos,2025-12-03 01:53:02,52000.0,https://www.trendyol.com/lenovo/loq-amd-ryzen-7-7435hs-24gb-512gb-15-6-fhd-rtx4060-8gb-105w-gddr6-freedos-gaming-laptop-83jc00e7tr-p-933182698?boutiqueid=61&merchantid=1135264,trendyol,ty_details_202512030228.csv
vivobook 15 12.nesil core i5 1235u-16gb-512gb ssd-15.6inc-w11,asus,ofis-is,gri,2 kg ve altı,intel core i5,1235u,12.0,10.0,4.2,16.0,ddr4,intel integrated,integrated,0.0,shared,512.0,512.0,15.6,1920x1080,fhd,,led,windows home,2025-12-03 01:53:03,27499.0,https://www.trendyol.com/asus/vivobook-15-12-nesil-core-i5-1235u-16gb-512gb-ssd-15-6inc-w11-p-794346874?boutiqueid=61&merchantid=868180,trendyol,ty_details_202512030228.csv
"ideapad 1/ amd ryzen 5 5500u/ 8gb ram/ 512gb ssd/ 15.6""/ w11/ laptop 82r400qctx",lenovo,ev-okul,gri,2 - 4 kg,amd ryzen 5,7520u,11.0,4.0,4.3,8.0,lpddr5,amd integrated,integrated,0.0,shared,512.0,512.0,15.6,1920x1080,fhd,165.0,tn,windows home,2025-12-03 01:53:04,21991.0,https://www.trendyol.com/lenovo/ideapad-1-amd-ryzen-5-5500u-8gb-ram-512gb-ssd-15-6-w11-laptop-82r400qctx-p-762026638?boutiqueid=61&merchantid=557390,trendyol,ty_details_202512030228.csv
"tuf gaming a15 fa507nvr-lp097 amd ryzen 7-7435hs 16gb ddr5 512gb ssd rtx4060 15.6"" 144hz dos",asus,oyun,gri,2 - 4 kg,amd ryzen 7,7435hs,,8.0,,16.0,ddr5,nvidia rtx 4060,dedicated,8.0,gddr6,512.0,,15.6,1920x1080,fhd,144.0,ips,freedos,2025-12-03 01:53:05,71999.0,https://www.trendyol.com/asus/asus-tuf-gaming-a15-fa507nvr-lp097-amd-ryzen-7-7435hs-16gb-ddr5-512gb-ssd-rtx4060-15-6-144hz-dos-p-924146032?boutiqueid=61&merchantid=1007811,trendyol,ty_details_202512030228.csv
"abra a7 v15.3.2 intel core i5 13500h 32 gb ram 1 tb ssd 6 gb rtx 3050 freedos 17,3"" fhd 144 hz",monster,oyun,siyah,2 - 4 kg,intel core i5,13500h,13.0,12.0,4.7,32.0,ddr4,nvidia rtx 3050,dedicated,6.0,gddr6,1024.0,,17.3,1920x1080,fhd,144.0,ips,freedos,2025-12-03 01:53:06,45000.0,https://www.trendyol.com/monster/abra-a7-v15-3-2-intel-core-i5-13500h-32-gb-ram-1-tb-ssd-6-gb-rtx-3050-freedos-17-3-fhd-144-hz-p-894065095?boutiqueid=61&merchantid=943700,trendyol,ty_details_202512030228.csv
modern 14 f13mg-429xtr i5-1334u 16gb ddr4 uma 512gb ssd 14″ fhd freedos gri notebook,msi,ofis-is,siyah,2 kg ve altı,intel core i5,,13.0,10.0,4.6,16.0,ddr4,integrated,integrated,0.0,,512.0,,14.0,1920x1080,fhd,60.0,ips,freedos,2025-12-03 01:53:08,25229.0,https://www.trendyol.com/msi/modern-14-f13mg-429xtr-i5-1334u-16gb-ddr4-uma-512gb-ssd-14-fhd-freedos-gri-notebook-p-963199054?boutiqueid=61&merchantid=105378,trendyol,ty_details_202512030228.csv
"15-fc0059nt amd ryzen 7 7730u 16gb 512gb ssd freedos 15.6"" fhd taşınabilir bilgisayar",hp,ofis-is,siyah,2 kg ve altı,amd ryzen 7,7730u,7.0,8.0,4.5,16.0,ddr4,amd integrated,integrated,0.0,shared,512.0,,15.6,1920x1080,fhd,60.0,ips,windows home,2025-12-03 01:53:09,19999.0,https://www.trendyol.com/hp/15-fc0059nt-amd-ryzen-7-7730u-16gb-512gb-ssd-freedos-15-6-fhd-tasinabilir-bilgisayar-p-776856720?boutiqueid=61&merchantid=106934,trendyol,ty_details_202512030228.csv
"v15 g4 iru 83a100gptr intel core i7 1355u 16gb 512gb ssd 15.6"" fhd freedos notebook",lenovo,ofis-is,siyah,2 kg ve altı,intel core i7,1355u,13.0,10.0,5.0,16.0,ddr4,intel integrated,integrated,0.0,shared,512.0,,15.6,1920x1080,fhd,60.0,tn,freedos,2025-12-03 01:53:10,26490.0,https://www.trendyol.com/lenovo/v15-g4-iru-83a100gptr-intel-core-i7-1355u-16gb-512gb-ssd-15-6-fhd-freedos-notebook-p-815624360?boutiqueid=61&merchantid=114271,trendyol,ty_details_202512030228.csv
"slayer r9t3d-5070ti c2 amd ryzen 9 9955hx3d 64gb ram 2tb ssd rtx5070ti 16"" qhd ips 300hz",game garaj,oyun,gri,2 - 4 kg,amd ryzen 9,9955hx3d,9.0,16.0,5.0,64.0,ddr5,nvidia rtx 5070 ti,dedicated,12.0,gddr7,2048.0,,16.0,2560x1600,qhd_plus,300.0,ips,freedos,2025-12-03 01:53:11,112999.0,https://www.trendyol.com/game-garaj/slayer-r9t3d-5070ti-c2-amd-ryzen-9-9955hx3d-64gb-ram-2tb-ssd-rtx5070ti-16-qhd-ips-300hz-p-945214690?boutiqueid=61&merchantid=124551,trendyol,ty_details_202512030228.csv
"aspire 3 a315-510p-39s1 intel core i3 n-305 8gb ddr5 ram 256gb ssd intel uhd 15.6""fhd w11 home",acer,ev-okul,gümüş,2 kg ve altı,intel core i3,n305,,8.0,3.8,8.0,ddr5,integrated,integrated,0.0,shared,256.0,,15.6,1920x1080,fhd,60.0,tn,windows home,2025-12-03 01:53:12,16400.0,https://www.trendyol.com/acer/aspire-3-a315-510p-39s1-intel-core-i3-n-305-8gb-ddr5-ram-256gb-ssd-intel-uhd-15-6-fhd-w11-home-p-792182204?boutiqueid=61&merchantid=684269,trendyol,ty_details_202512030228.csv
"ideapad 3 15iau7 intel core i3 1215u 24gb 256gb ssd windows 11 home 15.6"" 82rk00yatxa49",lenovo,ev-okul,gri,2 kg ve altı,intel core i3,1215u,12.0,6.0,4.4,24.0,ddr4,intel integrated,integrated,0.0,shared,256.0,,15.6,1920x1080,fhd,60.0,tn,windows home,2025-12-03 01:53:14,19499.0,https://www.trendyol.com/lenovo/ideapad-3-15iau7-intel-core-i3-1215u-24gb-256gb-ssd-windows-11-home-15-6-82rk00yatxa49-p-812253745?boutiqueid=61&merchantid=1088019,trendyol,ty_details_202512030228.csv
"v15 g3 iap i5-1235u 16gb 512gb ssd freedos 15.6"" fhd taşınabilir bilgisayar 82tt00a5tx001",lenovo,ofis-is,siyah,2 kg ve altı,intel core i5,1235u,12.0,10.0,4.4,16.0,ddr4,intel integrated,integrated,0.0,,512.0,,15.6,1920x1080,fhd,,tn,freedos,2025-12-03 01:53:15,30999.0,https://www.trendyol.com/lenovo/v15-g3-iap-i5-1235u-16gb-512gb-ssd-freedos-15-6-fhd-tasinabilir-bilgisayar-82tt00a5tx001-p-683001430?boutiqueid=61&merchantid=125175,trendyol,ty_details_202512030228.csv
"v15 g3 intel core i7 1255u 16gb 1tb ssd windows 11 pro 15.6"" fhd 82tt00c6txa34",lenovo,ofis-is,siyah,2 kg ve altı,intel core i7,1255u,12.0,10.0,4.7,16.0,ddr4,intel integrated,integrated,0.0,shared,1024.0,,15.6,1920x1080,fhd,60.0,tn,windows home,2025-12-03 01:53:16,35999.0,https://www.trendyol.com/lenovo/v15-g3-intel-core-i7-1255u-16gb-1tb-ssd-windows-11-pro-15-6-fhd-82tt00c6txa34-p-773508647?boutiqueid=61&merchantid=153128,trendyol,ty_details_202512030228.csv
"tulpar t6 v3.2.5 intel core i7 13700hx 32 gb ram 1 tb ssd 8 gb rtx 4070 windows 11 16"" fhd+ 165 hz",monster,oyun,siyah,2 - 4 kg,intel core i7,13700hx,13.0,16.0,5.0,32.0,ddr5,nvidia rtx 4070,dedicated,8.0,gddr6,1024.0,,16.0,1920x1200,fhd,165.0,ips,windows home,2025-12-03 01:53:17,69999.0,https://www.trendyol.com/monster/tulpar-t6-v3-2-5-intel-core-i7-13700hx-32-gb-ram-1-tb-ssd-8-gb-rtx-4070-windows-11-16-fhd-165-hz-p-878527870?boutiqueid=61&merchantid=141868,trendyol,ty_details_202512030228.csv
"vostro 3530 i7-1355u 32gb 1 tb ssd 15.6"" fhd 120hz w11pro",dell,ofis-is,siyah,2 kg ve altı,intel core i7,1355u,13.0,10.0,5.0,32.0,ddr4,intel integrated,integrated,0.0,,1024.0,,15.6,1920x1080,fhd,120.0,led,windows home,2025-12-03 01:53:19,39999.0,https://www.trendyol.com/dell/vostro-3530-i7-1355u-32gb-1-tb-ssd-15-6-fhd-120hz-w11pro-p-810300359?boutiqueid=61&merchantid=153128,trendyol,ty_details_202512030228.csv
"extensa 15 intel core i7 1255u 16 gb 512 gb ssd freedos 15.6"" fhd notebook nx.egyey.006",acer,ev-okul,gri,2 kg ve altı,intel core i5,1235u,12.0,10.0,4.4,16.0,ddr4,intel integrated,integrated,0.0,shared,512.0,,15.6,1920x1080,fhd,60.0,,freedos,2025-12-03 01:53:21,25999.0,https://www.trendyol.com/acer/extensa-15-intel-core-i7-1255u-16-gb-512-gb-ssd-freedos-15-6-fhd-notebook-nx-egyey-006-p-775755767?boutiqueid=61&merchantid=212612,trendyol,ty_details_202512030228.csv
thin 15 12.nesil core i5 12450h-rtx3050 4gb-16gb-512gb ssd-15.6inc-w11,msi,oyun,siyah,2 kg ve altı,intel core i5,12450h,12.0,8.0,,16.0,ddr4,nvidia rtx 3050,dedicated,4.0,gddr6,512.0,500.0,15.6,1920x1080,fhd,144.0,,windows home,2025-12-03 01:53:23,34999.0,https://www.trendyol.com/msi/thin-15-12-nesil-core-i5-12450h-rtx3050-4gb-16gb-512gb-ssd-15-6inc-w11-p-877716810?boutiqueid=61&merchantid=857450,trendyol,ty_details_202512030228.csv
