Başlık,Marka,Kullanım Amacı,Renk,Cihaz Ağırlığı,İşlemci Tipi,İşlemci,İşlemci Nesli,İşlemci Çekirdek Sayısı,Maksimum İşlemci Hızı,Ram (Sistem Belleği),Ram Tipi,Ekran Kartı,Ekran Kartı Tipi,Ekran Kartı Hafızası,Ekran Kartı Bellek Tipi,SSD Kapasitesi,Harddisk Kapasitesi,Ekran Boyutu,Max Ekran Çözünürlüğü,Ekran Özelliği,Ekran Yenileme Hızı,Ekran Panel Tipi,İşletim Sistemi,Çekilme Zamanı,Fiyat (TRY),Link
"MSI CYBORG 15 A13VE-1252XTR Intel Core i5 13420H 16GB 512GB SSD RTX4050 Freedos 15.6"" FHD Taşınabilir Bilgisayar",MSI,Oyun ve Eğlence,Siyah,1 - 2 kg,Intel Core i5,Intel Core i5,13.Nesil,,"4,6 GHz",16 GB,DDR5,Nvidia GeForce RTX 4050,Yüksek Seviye Harici Ekran Kartı,6 GB,GDDR6,512 GB,Yok,"15,6 inç",1920 x 1080,Full HD,144 Hz,TN,Yok (Free Dos),2025-12-17 13:04:21,36.599 TL,https://www.hepsiburada.com/msi-cyborg-15-a13ve-1252xtr-intel-core-i5-13420h-16gb-512gb-ssd-rtx4050-freedos-15-6-fhd-tasinabilir-bilgisayar-pm-HBC00006IUW8W
"MSI THIN 15 B13UC-3074XTR Intel Core i5 13420H 16GB 512GB SSD RTX3050 Freedos 15.6"" FHD 144Hz Taşınabilir Bilgisayar",MSI,Oyun ve Eğlence,"Gri, Gri",2 kg ve Altı,Intel Core i5,Intel Core i5,13.Nesil,,"4,6 GHz",16 GB,DDR4,Nvidia GeForce RTX 3050,Harici Ekran Kartı,4 GB,GDDR6,512 GB,Yok,"15,6 inç",1920 x 1080,Full HD,144 Hz,FHD,Yok (Free Dos),2025-12-17 13:04:32,"30.798,99 TL",https://www.hepsiburada.com/msi-thin-15-b13uc-3074xtr-intel-core-i5-13420h-16gb-512gb-ssd-rtx3050-freedos-15-6-fhd-144hz-tasinabilir-bilgisayar-pm-HBC00008QM2JK
"Huawei Matebook D14 2024 Intel Core i5 12450H 8GB 512GB SSD Windows 11 Home 14"" IPS Taşınabilir Bilgisayar",Huawei,,Gri,1 - 2 kg,Intel Core i5,Intel Core i5,12.Nesil,,"4,4 GHz",8 GB,,Paylaşımlı,Dahili Ekran Kartı,Paylaşımlı,Onboard,512 GB,Yok,14 inç,1920 x 1080,,,IPS,Windows 11 Home,2025-12-17 13:04:41,"23.749,95 TL",https://www.hepsiburada.com/huawei-matebook-d14-2024-intel-core-i5-12450h-8gb-512gb-ssd-windows-11-home-14-ips-tasinabilir-bilgisayar-pm-HBC00005WJBQU
"Lenovo Ideapad Slim 3 16IRH10 Intel Core I5-13420H 16GB 512GB SSD 16"" Wuxga (1920X1200) IPS Panel Freedos Taşınabilir Dizüstü Bilgisayar 83K20073TR",Lenovo,Ofis ve İş,Gri,2 kg ve Altı,Intel Core i5,13420H,13.Nesil,8,"4,6 GHz",,DDR5,Intel UHD Graphics,Dahili Ekran Kartı,Paylaşımlı,Paylaşımlı,,Yok,16 inç,1920 x 1200,WUXGA,60 Hz,IPS,Yok (Free Dos),2025-12-17 13:04:45,24.999 TL,https://www.hepsiburada.com/lenovo-ideapad-slim-3-16irh10-intel-core-i5-13420h-16gb-512gb-ssd-16-wuxga-1920x1200-ips-panel-freedos-tasinabilir-dizustu-bilgisayar-83k20073tr-pm-HBC00009P0ZN3
"Casper Excalibur G915 i7-13620H 32GB 2TB 8GB RTX5060 165HZ 16"" Freedos Gaming Laptop G915.1362-DX60X-C",Casper,Oyun ve Eğlence,Siyah,2 - 4 kg,Intel Core i7,13620H,13.Nesil,,"4,9 GHz",,DDR5,Nvidia GeForce RTX 5060,Yüksek Seviye Harici Ekran Kartı,8 GB,GDDR7,,Yok,16 inç,1920 x 1200,Full HD,165 Hz,IPS,Yok (Free Dos),2025-12-17 13:04:49,68.499 TL,https://adservice.hepsiburada.com/event/api/v1/track?event=dkt0R055dU1XUWFnUWVWMjU2M0xsNUNCSlVuL29JQUJkaXNFd2RDcHZuckdMZlEwZ3dBOUNrUHhVRmlxUG9CMTJLY3dRQS9LbTEzMkN6ZE9QWDNUS3UvelJRK2x0cmNhaDJ6OFRRSEM3MjNXaFF5Tjg5T1hQVUtIKzExRG40OGVVYXBFNFNqbVYxTUJDN1hpZkxKQkh2VGtMQkpQUE9jUHV2NFlWYWt0Tm1pNmxPei9RUEs4bE1UOGZBRi9QMVhERkpGNUlRalBTcUVzbVVmSGExZGZzSnVvbFVDZ0NMRlpCYmtoN3IrVTdCWnh2NkVodGZVSVdTeUdMNnhhTU53bEZSN25FeDVuMk9rc3FzcytjMGlJNVJYQ3ErZEF0VnpURWsza0pLei9MSWZFNVZGT0kvQ3I3d0t5aGxxcllzVDk3eFVvUmM0cDIrZnpBVHkzTUw2Y3gzUTFIbWQxbTdGdDh4WTN4cVU2RCtCRGJKUWZuY25DcTNBSWVaa294Q1NQaTl5YWd4YlQ2c0JZRXdidSsrOFAyM0NsNVJYTDZyeWFCbDVQTWQ2RnNFTXJ0WTZyYjd6VkN3b3VRcTVVK1hpaDZReWh1Wkd6NkZQRHovL05wMDNyOC9kVkRQb2UrNlczeW1Md3paUjJCQ0NPUDJXS2xaQThZQUgvWnNtR0cydVdaYlVrdHdsMUNWdktRRWFuYk1peElqUkFrTVRxRW9KSERTRE5pWW15VVRZ&redirect=https%3A%2F%2Fwww.hepsiburada.com%2Fcasper-excalibur-g915-i7-13620h-32gb-2tb-8gb-rtx5060-165hz-16-freedos-gaming-laptop-g915-1362-dx60x-c-p-HBCV00009QZQHI%3Fmagaza%3DCasper+Excalibur&eventName=sp-click&platform=desktop
"Casper Excalibur G870 Intel Core 5 210H 32GB 1TB RTX5060 Freedos 15.6"" Taşınabilir Bilgisayar G870.210H-DF60X-C",Casper,,Gri,2 - 4 kg,Intel Core 5,210H,Series 2,,"4,8 GHz",,DDR5,Nvidia GeForce RTX 5060,Yüksek Seviye Harici Ekran Kartı,8 GB,GDDR7,,Yok,"15,6 inç",1920 x 1080,,,IPS,Yok (Free Dos),2025-12-17 13:04:51,50.799 TL,https://www.hepsiburada.com/casper-excalibur-g870-intel-core-5-210h-32gb-1tb-rtx5060-freedos-15-6-tasinabilir-bilgisayar-g870-210h-df60x-c-pm-HBC000095GHIR
Gameraider FLUX GR16 Intel Core i7-14650HX 64GB DDR5 2TB SSD RTX 5060 8GB 115W 16 inç 2.5K QHD+ 180Hz FreeDos Gaming Laptop,Gameraider,Oyun ve Eğlence,"Siyah, Siyah","2,2 kg",Intel Core i7,14650HX,14.Nesil,16,"5,2 GHz",,DDR5,Nvidia GeForce RTX 5060,Yüksek Seviye Harici Ekran Kartı,8 GB,GDDR7,,Yok,16 inç,2560 x 1600,QHD+,180 Hz,QHD+,FreeDos,2025-12-17 13:04:56,79.999 TL,https://adservice.hepsiburada.com/event/api/v1/track?event=NWE3dDBQWkNJV3JNdXdzVkxtaUhaMEZXZ3UrYUc3TUcydXhqQ01Nc2I0anQwVko5T1R6Qm00YmpRQVdDZUlnWVJaOTM1SmVYbFpvMVc3Q0pENHZzVnFvcjE0ZXovSkMyNDdybUYyTm5wTkE2NnZFYWExQ1lIYVArdFJCb1IvcGFwMFlmckJpU3JGVHF6VUhjUnlnSUhNaFpuSUhtdVhIOFFjVGdWbkF5S2ZDdTlLa3pVYURtUE5UUFFZNWc0bGtPVXp2aWdiczVINTFCUWNyMzVRRkhRQ3hQbnRsY29HdmxtTWVrSkEvSEplZ2RnMGdiaDZ1ZFN5Vnk5ellmRUJLUjVRTjNkOFNxZk9XU3lNbENGKzZtbzliY1BFS1F4NEtLWTV1eUF5bnNVWGY1MzMvektrRDJTbFZSRGRCTm5ydDZBVU1PckhPUFdvcHM1NnVDRHErVW5hSVIvQVY5ZFVnRlhId2cyeDJLRXlvQkdDNW1FT3pGMmsyRWV0bEFnWnlMbEQ1UG9lK25hYzNDUFBrVjZZbUZ0eU4wamxWS1h0QlU3R3JvcXhjZGpCV1BsTjFNa05jWXZJSzJCUnhKTGFzeGlvODZKMmRGOW1nb1hCbGQ0Y1ZkbGhRcXg2aEY3NE9hSEpiSEx1WUpMMzgrMlprUnh1WnkwOUI2NUlOUHM4alkwZ2ZEZ2ZwM0VtQ1FhVVh2Z1Zid2IxbXVNUVQzRkVTQUkxazlvWVJuWVMw&redirect=https%3A%2F%2Fwww.hepsiburada.com%2Fgameraider-flux-gr16-intel-core-i7-14650hx-64gb-ddr5-2tb-ssd-rtx-5060-8gb-115w-16-inc-2-5k-qhd-180hz-freedos-gaming-laptop-p-HBCV0000B0JFPG%3Fmagaza%3DBETA+PLUS+TEKNOLOJ%C4%B0&eventName=sp-click&platform=desktop
"Lenovo LOQ Intel Core i7 13700HX 16GB 512GB SSD RTX5050 Freedos 15.6"" Taşınabilir Bilgisayar 83JE00WGTR",Lenovo,,Gri,2 - 4 kg,Intel Core i7,13700HX,13.Nesil,,5 GHz,,DDR5,Nvidia GeForce RTX 5050,Yüksek Seviye Harici Ekran Kartı,8 GB,GDDR7,,Yok,"15,6 inç",1920 x 1080,Full HD,144 Hz,IPS,FreeDos,2025-12-17 13:04:58,49.999 TL,https://www.hepsiburada.com/lenovo-loq-intel-core-i7-13700hx-16gb-512gb-ssd-rtx5050-freedos-15-6-tasinabilir-bilgisayar-83je00wgtr-pm-HBC0000AZCRAN
"Apple MacBook Air M4 16GB 256GB SSD macOS 13"" Taşınabilir Bilgisayar Gök Mavisi MC6T4TU/A",Apple,,Mavi,2 kg ve Altı,Apple M4,Apple M4,Apple M4,,Yok,,Belirtilmemiş,Onboard,Dahili Ekran Kartı,Paylaşımlı,Paylaşımlı,,Yok,13 inç,2560 x 1664,,,Liquid Retina Ekran,macOS,2025-12-17 13:05:02,48.499 TL,https://www.hepsiburada.com/apple-macbook-air-m4-16gb-256gb-ssd-macos-13-tasinabilir-bilgisayar-gok-mavisi-mc6t4tu-a-p-HBCV00008749EE
"Asus TUF Gaming F15 FX507VV-LP139 Intel Core i7 13620H 16GB 512GB SSD RTX4060 Freedos 15.6"" FHD Taşınabilir Bilgisayar",Asus,,,2 - 4 kg,Intel Core i7,Intel Core i7,13.Nesil,,"4,9 GHz",16 GB,DDR5,Nvidia GeForce RTX 4060,Harici Ekran Kartı,8 GB,GDDR6,512 GB,Yok,"15,6 inç",1920 x 1080,Full HD,144 Hz,IPS,Yok (Free Dos),2025-12-17 13:05:04,50.499 TL,https://www.hepsiburada.com/asus-tuf-gaming-f15-fx507vv-lp139-intel-core-i7-13620h-16gb-512gb-ssd-rtx4060-freedos-15-6-fhd-tasinabilir-bilgisayar-pm-HBC000063UNRG
Gameraider FLUX GR16 AMD Ryzen 9-8940HX 32GB DDR5 1TB SSD RTX 5060 8GB 115W 16 inç 2.5K QHD+ 180Hz FreeDos Gaming Laptop,Gameraider,Oyun ve Eğlence,"Siyah, Siyah","2,2 kg",AMD Ryzen 9,8940HX,8.Nesil,16,"5,3 GHz",,DDR5,Nvidia GeForce RTX 5060,Yüksek Seviye Harici Ekran Kartı,8 GB,GDDR7,,Yok,16 inç,2560 x 1600,QHD+,180 Hz,QHD+,FreeDos,2025-12-17 13:05:13,63.999 TL,https://adservice.hepsiburada.com/event/api/v1/track?event=MlVvaEFIQTI2T2prdm9oL0JUaW1LNHNYT2FvOSsxN2NzUDdtTGhVWmZaZWV3L3pxK245cDYxR0krTHpOVHVlR0pKSHBsVkMxTkpMOUdtS05xTjVqNk9XYmRGeENXelZCVVpFV1B1azlxODZxWmdUa0kzc251K2VweUtxU1AzOEIwenp3Vy9RcjNCQXpOUlpQdnh0OElHV1FzOWtxdmNuN3A0eTJybVZMMGlQSHY5dmFiclVNcGxSWVpuV2lVZTB1MTdWbFZEU1NEaG9wSkx4VTlUN0VQdFF1ODFGZ1FHeHRMYkNwQ1BXNnRtamlNQjRTemFVRUpPWnQ5T0Qyb2lnUG1YaTVIZ0oyaTN1OGl2Y0EyTGVRSXAwci9NSkdSeVRFYkZ6dGdXVWRVbER1OWtTVzBwSkRVUVZwMUk3NWsxOUdCRlhMYUpHb1NmbWt6c1NZSmlYZnZhUzZJSXdZdVd1QUgrU3JhenVwcE5yWGRUbjlCSzhZN0JFRDhWTUk3U3lRV1V2S2ozZHMwY01HT2lRTmd2YitTV1pGNDI1YWFkcHRuREJCOWlZNzgwdmo5TzNoUWFuS2dTUFQ3bGlDVU5aam4wMitIcVFRTFd5a0lXcGRUUk1obExmS1J4VklDK0NGcVJNeXJsNUlUbG1JR0pITDZ4YVNTSldFb2VUZ0lNa1h4SmdxREZxdGVaa2xLbllRMC9SaWNqdjgxSngwWHBibTVTb3JiMmZYUnhz&redirect=https%3A%2F%2Fwww.hepsiburada.com%2Fgameraider-flux-gr16-amd-ryzen-9-8940hx-32gb-ddr5-1tb-ssd-rtx-5060-8gb-115w-16-inc-2-5k-qhd-180hz-freedos-gaming-laptop-p-HBCV0000B0JQAX%3Fmagaza%3DBETA+PLUS+TEKNOLOJ%C4%B0&eventName=sp-click&platform=desktop
