Başlık,Marka,Kullanım Amacı,Renk,Cihaz Ağırlığı,İşlemci Tipi,İşlemci Modeli,İşlemci Nesli,İşlemci Çekirdek Sayısı,Maksimum İşlemci Hızı (GHz),Ram (Sistem Belleği),Ram (Sistem Belleği) Tipi,Ekran Kartı,Ekran Kartı Tipi,Ekran Kartı Hafızası,Ekran Kartı Bellek Tipi,SSD Kapasitesi,Hard Disk Kapasitesi,Ekran Boyutu,Çözünürlük,Çözünürlük Standartı,Ekran Yenileme Hızı,Panel Tipi,İşletim Sistemi,Çekilme Zamanı,Fiyat (TRY),Link
"Excalibur G770 i7-12700H 32GB 1TB 4GB RTX3050 95W 15.6"" Freedos Gaming Laptop G770.1270-DFJ0X-B",CASPER,Oyun,Siyah,2 - 4 kg,Intel Core i7,12700H,12. Nesil,14,4.7,32 GB,DDR4,Nvidia GeForce RTX 3050,Harici,4 GB ve altı,GDDR6,1 TB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),144 Hz,IPS,Free Dos (İşletim Sistemi Yok),2025-12-17 13:04:41,49.999 TL,https://www.trendyol.com/casper/excalibur-g770-i7-12700h-32gb-1tb-4gb-rtx3050-95w-15-6-freedos-gaming-laptop-g770-1270-dfj0x-b-p-311975792?boutiqueId=61&merchantId=141868
"Ideapad Slim 3 15Ian8 Intel N100 4GB RAM 128Gb SSD Intel UHD Graphics 15.6"" FHD W11 Gri Noteb",LENOVO,Ofis - İş,Gri,2 kg ve altı,Intel Celeron,Alder Lake-N N100,Belirtilmemiş,4,3.4,4 GB,LPDDR5,Intel UHD Graphics,Dahili,Paylaşımlı,Dahili,128 GB,128 GB,"15,6 inç",1920 x 1080,Full HD (FHD),Belirtilmemiş,TN,Windows,2025-12-17 13:04:43,10.979 TL,https://www.trendyol.com/lenovo/ideapad-slim-3-15ian8-intel-n100-4gb-ram-128gb-ssd-intel-uhd-graphics-15-6-fhd-w11-gri-noteb-p-880174765?boutiqueId=61&merchantId=853006
"Ideapad 3 İntel Core i3-1215U 16GB 512GB SSD W11P 15.6"" Full Hd CSR22 ÇANTA Hediyeli",LENOVO,Ofis - İş,Metalik Gri; Metalik,2 kg ve altı,Intel Core i3,1215U,12. Nesil,4,4.4,16 GB,DDR4,Intel UHD Graphics,Dahili,Paylaşımlı,Dahili,512 GB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),60 Hz,TN,Windows,2025-12-17 13:04:45,25.499 TL,https://www.trendyol.com/lenovo/ideapad-3-intel-core-i3-1215u-16gb-512gb-ssd-w11p-15-6-full-hd-csr22-canta-hediyeli-p-781482518?boutiqueId=61&merchantId=557390
"Ideapad 1 15alc7 Amd Ryzen 5 5625U 16gb 512gb Ssd 15.6"" Win11 Taşınabilir Bilgisayar",LENOVO,Ofis - İş,Gri,2 kg ve altı,AMD Ryzen 5,5500U,Belirtilmemiş,6,4.0,16 GB,DDR4,Dahili Ekran Kartı,Dahili,Paylaşımlı,Belirtilmemiş,512 GB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),60 Hz,TN,Windows,2025-12-17 13:04:46,22.799 TL,https://www.trendyol.com/lenovo/ideapad-1-15alc7-amd-ryzen-5-5625u-16gb-512gb-ssd-15-6-win11-tasinabilir-bilgisayar-p-817478034?boutiqueId=61&merchantId=557390
"13"" MacBook Air:  M2 chip with 8-core CPU and 8-core GPU, 16GB, 256GB - Gece Yarısı",Apple,Ofis - İş,Gece Yarısı; Gri,2 kg ve altı,Apple M2,Belirtilmemiş,2. Nesil,8,2.5,16 GB,Birleşik Bellek,M2 8 Çekirdekli,Dahili,8 GB,Dahili,256 GB,HDD Yok,"13,6 inç",2560 x 1600,Ultra HD 4K (UHD),120 Hz,IPS,Mac Os,2025-12-17 13:04:48,37.940 TL,https://www.trendyol.com/apple/13-macbook-air-apple-m2-chip-with-8-core-cpu-and-8-core-gpu-16gb-256gb-gece-yarisi-p-871069136?boutiqueId=61&merchantId=141868
"13"" MacBook Air:  M2 chip with 8-core CPU and 8-core GPU, 16GB, 256GB - Yıldız Işığı",Apple,Ofis - İş,Yıldız Işığı; Gri,2 kg ve altı,Apple M2,Belirtilmemiş,2. Nesil,8,,16 GB,Birleşik Bellek,M2 8 Çekirdekli,Dahili,8 GB,Dahili,256 GB,HDD Yok,"13,6 inç",2560 x 1600,Ultra HD 4K (UHD),120 Hz,,Mac Os,2025-12-17 13:04:50,38.999 TL,https://www.trendyol.com/apple/13-macbook-air-apple-m2-chip-with-8-core-cpu-and-8-core-gpu-16gb-256gb-yildiz-isigi-p-871069139?boutiqueId=61&merchantId=141868
"IdeaPad 1 Intel Celeron N4020 4GB 128GB SSD Windows 11 Home 15.6"" Taşınabilir Bilgisayar 82V700A9TX",LENOVO,Ev - Okul,Gri,2 kg ve altı,Intel Celeron,N4020,Belirtilmemiş,2,2.8,4 GB,Birleşik Bellek,Dahili Ekran Kartı,Dahili,Paylaşımlı,Dahili,128 GB,HDD Yok,"15,6 inç",1366 x 768,HD Ready (HD),Belirtilmemiş,TN,Windows,2025-12-17 13:04:53,"20.456,97 TL",https://www.trendyol.com/lenovo/ideapad-1-intel-celeron-n4020-4gb-128gb-ssd-windows-11-home-15-6-tasinabilir-bilgisayar-82v700a9tx-p-759819201?boutiqueId=61&merchantId=222210
"Victus AMD Ryzen 5-8645HS 16GB 512GB RTX3050 6GB Freedos 15.6"" FHD IPS 144Hz Gaming Laptop B9KM2EA",HP,Oyun,,2 - 4 kg,AMD Ryzen 5,8645HS,8. Nesil,6,5.0,16 GB,DDR5,Nvidia GeForce RTX 3050,Harici,6 GB,GDDR6,512 GB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),144 Hz,IPS,Free Dos (İşletim Sistemi Yok),2025-12-17 13:04:54,30.999 TL,https://www.trendyol.com/hp/victus-amd-ryzen-5-8645hs-16gb-512gb-rtx3050-6gb-freedos-15-6-fhd-ips-144hz-gaming-laptop-b9km2ea-p-929697232?boutiqueId=61&merchantId=106934
"Vivobook 15 Intel Core 5 120 16GB 1TB SSD W11P 15.6"" FHD Bilgisayar Csrtech",ASUS,Ofis - İş,LACİVERT; Lacivert,2 kg ve altı,Intel Core i5,1235U,12. Nesil,10,4.4,16 GB,DDR4,Intel UHD Graphics,Dahili,Paylaşımlı,Dahili,1 TB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),60 Hz,IPS,Windows,2025-12-17 13:04:56,27.499 TL,https://www.trendyol.com/asus/vivobook-15-intel-core-5-120-16gb-1tb-ssd-w11p-15-6-fhd-bilgisayar-csrtech-p-795953654?boutiqueId=61&merchantId=880551
"LOQ Intel Core i5-12600HX 24G 512GB SSD RTX4050 15.6"" FHD 144Hz 105W FreeDOS Gaming PC 83GS00P6TR",LENOVO,Oyun,Gri,2 - 4 kg,Intel Core i5,12600HX,12. Nesil,12+,4.6,24 GB,DDR5,Nvidia GeForce RTX 4050,Harici,6 GB,GDDR6,512 GB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),144 Hz,IPS,Free Dos (İşletim Sistemi Yok),2025-12-17 13:04:58,41.899 TL,https://www.trendyol.com/lenovo/loq-intel-core-i5-12600hx-24g-512gb-ssd-rtx4050-15-6-fhd-144hz-105w-freedos-gaming-pc-83gs00p6tr-p-892391469?boutiqueId=61&merchantId=105061
