cpu_generation,cpu_cores,brand,color,scraped_at,gpu_type,intended_use,ram_gb,cpu_family,ssd_gb,screen_size_inch,weight,gpu_vram_gb,refresh_rate_hz,cpu_model,price_try,cpu_max_ghz,url,panel_type,ram_type,platform,display_standard,hdd_gb,operating_system,resolution,gpu_model,gpu_vram_type,title
13.0,8.0,casper,siyah; gri,2025-12-17 11:02:58,dedicated,oyun,32.0,intel core i5,,15.6,2 - 4 kg,6.0,165.0,13420h,47999.0,4.6,https://www.trendyol.com/casper/excalibur-g870-i5-13420h-32gb-1tb-6gb-rtx4050-165hz-15-6-freedos-gaming-laptop-g870-1342-dfa0x-c-p-672168438?boutiqueid=61&merchantid=141868,ips,ddr4,trendyol,full hd (fhd),,freedos,1920x1080,nvidia geforce rtx 4050,gddr6,"excalibur g870 i5-13420h 32gb 1tb 6gb rtx4050 165hz 15.6"" freedos gaming laptop g870.1342-dfa0x-c"
,4.0,lenovo,gri,2025-12-17 11:03:00,integrated,ofis - i̇ş,4.0,intel celeron,,15.6,2 kg ve altı,0.0,,alder lake-n n100,9400.0,3.4,https://www.trendyol.com/lenovo/ideapad-slim-3-intel-celeron-n100-4gb-128gb-intel-uhd-graphics-15-6-fhd-w11-notebook-82xb009gtx-p-941342405?boutiqueid=61&merchantid=1179738,tn,lpddr5,trendyol,full hd (fhd),128.0,windows home,1920x1080,intel uhd graphics,dahili,"ideapad slim 3 intel celeron n100 4gb 128gb intel uhd graphics 15.6"" fhd w11 notebook 82xb009gtx"
12.0,14.0,casper,siyah,2025-12-17 11:03:02,dedicated,oyun,32.0,intel core i7,,15.6,2 - 4 kg,4.0,144.0,12700h,49999.0,4.7,https://www.trendyol.com/casper/excalibur-g770-i7-12700h-32gb-1tb-4gb-rtx3050-95w-15-6-freedos-gaming-laptop-g770-1270-dfj0x-b-p-311975792?boutiqueid=61&merchantid=141868,ips,ddr4,trendyol,full hd (fhd),,freedos,1920x1080,nvidia geforce rtx 3050,gddr6,"excalibur g770 i7-12700h 32gb 1tb 4gb rtx3050 95w 15.6"" freedos gaming laptop g770.1270-dfj0x-b"
,4.0,lenovo,gri,2025-12-17 11:03:04,integrated,ofis - i̇ş,4.0,intel celeron,128.0,15.6,2 kg ve altı,0.0,,alder lake-n n100,10979.0,3.4,https://www.trendyol.com/lenovo/ideapad-slim-3-15ian8-intel-n100-4gb-ram-128gb-ssd-intel-uhd-graphics-15-6-fhd-w11-gri-noteb-p-880174765?boutiqueid=61&merchantid=853006,tn,lpddr5,trendyol,full hd (fhd),128.0,windows home,1920x1080,intel uhd graphics,dahili,"ideapad slim 3 15ian8 intel n100 4gb ram 128gb ssd intel uhd graphics 15.6"" fhd w11 gri noteb"
12.0,4.0,lenovo,metalik gri; metalik,2025-12-17 11:03:05,integrated,ofis - i̇ş,16.0,intel core i3,512.0,15.6,2 kg ve altı,0.0,60.0,1215u,25499.0,4.4,https://www.trendyol.com/lenovo/ideapad-3-intel-core-i3-1215u-16gb-512gb-ssd-w11p-15-6-full-hd-csr22-canta-hediyeli-p-781482518?boutiqueid=61&merchantid=557390,tn,ddr4,trendyol,full hd (fhd),,windows home,1920x1080,intel uhd graphics,dahili,"ideapad 3 i̇ntel core i3-1215u 16gb 512gb ssd w11p 15.6"" full hd csr22 çanta hediyeli"
,6.0,lenovo,gri,2025-12-17 11:03:07,integrated,ofis - i̇ş,16.0,amd ryzen 5,512.0,15.6,2 kg ve altı,0.0,60.0,5500u,22799.0,4.0,https://www.trendyol.com/lenovo/ideapad-1-15alc7-amd-ryzen-5-5625u-16gb-512gb-ssd-15-6-win11-tasinabilir-bilgisayar-p-817478034?boutiqueid=61&merchantid=557390,tn,ddr4,trendyol,full hd (fhd),,windows home,1920x1080,dahili ekran kartı,,"ideapad 1 15alc7 amd ryzen 5 5625u 16gb 512gb ssd 15.6"" win11 taşınabilir bilgisayar"
8.0,6.0,hp,,2025-12-17 11:03:15,dedicated,oyun,16.0,amd ryzen 5,512.0,15.6,2 - 4 kg,6.0,144.0,8645hs,30999.0,5.0,https://www.trendyol.com/hp/victus-amd-ryzen-5-8645hs-16gb-512gb-rtx3050-6gb-freedos-15-6-fhd-ips-144hz-gaming-laptop-b9km2ea-p-929697232?boutiqueid=61&merchantid=106934,ips,ddr5,trendyol,full hd (fhd),,freedos,1920x1080,nvidia geforce rtx 3050,gddr6,"victus amd ryzen 5-8645hs 16gb 512gb rtx3050 6gb freedos 15.6"" fhd ips 144hz gaming laptop b9km2ea"
12.0,10.0,asus,laci̇vert; lacivert,2025-12-17 11:03:17,integrated,ofis - i̇ş,16.0,intel core i5,,15.6,2 kg ve altı,0.0,60.0,1235u,27499.0,4.4,https://www.trendyol.com/asus/vivobook-15-intel-core-5-120-16gb-1tb-ssd-w11p-15-6-fhd-bilgisayar-csrtech-p-795953654?boutiqueid=61&merchantid=880551,ips,ddr4,trendyol,full hd (fhd),,windows home,1920x1080,intel uhd graphics,dahili,"vivobook 15 intel core 5 120 16gb 1tb ssd w11p 15.6"" fhd bilgisayar csrtech"
12.0,12.0,lenovo,gri,2025-12-17 11:03:19,dedicated,oyun,24.0,intel core i5,512.0,15.6,2 - 4 kg,6.0,144.0,12600hx,41899.0,4.6,https://www.trendyol.com/lenovo/loq-intel-core-i5-12600hx-24g-512gb-ssd-rtx4050-15-6-fhd-144hz-105w-freedos-gaming-pc-83gs00p6tr-p-892391469?boutiqueid=61&merchantid=105061,ips,ddr5,trendyol,full hd (fhd),,freedos,1920x1080,nvidia geforce rtx 4050,gddr6,"loq intel core i5-12600hx 24g 512gb ssd rtx4050 15.6"" fhd 144hz 105w freedos gaming pc 83gs00p6tr"
13.0,,casper,siyah,2025-12-17 11:02:19,dedicated_high_end,oyun ve eğlence,32.0,intel core i7,,16.0,2 - 4 kg,8.0,165.0,13620h,68499.0,4.9,https://adservice.hepsiburada.com/event/api/v1/track?event=egdetzfxnflkevdszhljcfngsstcrm5szudeak1leuvuck1pzjzguuhublhnqvrzehi4tfrubvlxywzuaufeqk9pdmfps0d0b1hgv2xzalirb0zxtty5y0wwofhlrxbpwwtsbdjbc2ptbhb3u2nhb0f6vug1cez6ukxqostvrnlxchfxu3diudf5wvrpyxfvcndovfzhtvhkz2hdog1umdb4alntruwwuxmrzvj4vlj0l0q2vgj0suhra01hegvpnmhjqjlkdwo4z3qrufmxyu1soxbmem0rdmn0d2dyuzrdt3ldcezwtuhhvfjpdu9qskrirtltsy85dw5ptfjmqwxkbtbtng0zvlk4qug5rnuwrs8xbuduwtjml2z6wfbsr1rhaee1nfi0oc9lewnarfk0dudrmju4zvlqtlblstvimxdgwwtucwzgturry1vzsk81etngwvuzree5uwdwazvkeveyk0lryjrezddhn0gxyktovkrrb0yxy2l6meewmehxt2nic2tfutbesxffemi4l1a4u0vkoxnxefdam0dydjz3ovnoy2tuulvjzuxwnyttymzpwdh2a1viszziymh5umpnkzjttuxnuzlyawhfvljzemt1tnoznnzttzdcvwzkdkfmrnnlvgrpsnrxcenvc3jzb0fyoglaetrxofviemnbumdtb3bqd1homs9bkzjxdna5uxriuwrrq1vxz2f4zu5ws3rj&redirect=https%3a%2f%2fwww.hepsiburada.com%2fcasper-excalibur-g915-i7-13620h-32gb-2tb-8gb-rtx5060-165hz-16-freedos-gaming-laptop-g915-1362-dx60x-c-p-hbcv00009qzqhi%3fmagaza%3dcasper+excalibur&eventname=sp-click&platform=desktop,ips,ddr5,hepsiburada,full hd,,freedos,1920x1200,nvidia geforce rtx 5060,gddr7,"casper excalibur g915 i7-13620h 32gb 2tb 8gb rtx5060 165hz 16"" freedos gaming laptop g915.1362-dx60x-c"
,,lenovo,,2025-12-17 11:02:31,,,16.0,,512.0,,,,,,24999.0,,https://www.hepsiburada.com/lenovo-ideapad-slim-3-intel-core-i5-13420h-16gb-512gb-ssd-freedos-15-3-wuxga-tasinabilir-bilgisayar-83k1003mtr-pm-hbc00008o31ra,,,hepsiburada,WUXGA,,,,,,"lenovo ideapad slim 3 intel core i5 13420h 16gb 512gb ssd 15.3"" wuxga ips freedos taşınabilir bilgisayar 83k1003mtr"
13.0,,casper,titanyum gri,2025-12-17 11:02:40,integrated,,16.0,intel core i7,1024.0,16.0,2 kg ve altı,0.0,,13620h,25999.0,4.9,https://www.hepsiburada.com/casper-nirvana-s100-intel-core-i7-13620h-16gb-1tb-ssd-freedos-16-tasinabilir-bilgisayar-s100-1362-bf00x-g-f-p-hbcv00007xo59v,ips,ddr5,hepsiburada,,,freedos,1920x1200,intel graphics,paylaşımlı,"casper nirvana s100 intel core i7 13620h 16gb 1tb ssd freedos 16"" taşınabilir bilgisayar s100.1362-bf00x-g-f"
